president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Joseph R. Biden Jr.,All polls,10/20/2021,1/19/2021,1/21/2021,Morning Consult,B,15000,a,0.25936103,0,50,28,48.531477,31.191212,,T,https://morningconsult.com/form/global-leader-approval/,74272,139491,1/28/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/19/2021,1/21/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,0.33818752,0,48,45,50.386041,38.73319,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74247,139395,1/22/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/20/2021,1/21/2021,Morning Consult,B,1993,rv,0.09297777,0,56,31,54.531477,34.191212,,,https://assets.morningconsult.com/wp-uploads/2021/01/21155806/210166_crosstabs_MC_WASHINGTON_RVs_v2.pdf,74246,139394,1/22/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/20/2021,1/22/2021,Morning Consult,B,15000,a,0.23326085,0,51,28,49.531477,31.191212,,T,https://morningconsult.com/form/global-leader-approval/,74273,139492,1/28/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/20/2021,1/21/2021,Ipsos,B-,1115,a,1.1013975,0,55,32,53.814057,32.961727,,,https://www.ipsos.com/sites/default/files/ct/news/documents/2021-01/2021_reuters_tracking_-_core_political_presidential_approval_tracker_01_22_2021.pdf,74248,139404,1/22/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/20/2021,1/21/2021,YouGov,B+,1516,a,1.2454012,0,45,28,46.352119,28.463244,,,https://docs.cdn.yougov.com/u3h9dresbn/20210120_yahoo_coronavirus_toplines.pdf,74327,139570,2/2/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/21/2021,1/23/2021,Morning Consult,B,15000,a,0.21460409,0,52,29,50.531477,32.191212,,T,https://morningconsult.com/form/global-leader-approval/,74274,139493,1/28/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/21/2021,1/23/2021,RMG Research,B-,1200,rv,0.8806739,0,58,32,56.908774,33.057971,,,https://justthenews.com/politics-policy/polling/poll-nearly-third-voters-disapprove-bidens-job-performance-so-far,74270,139489,1/28/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/20/2021,1/24/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,0.1776436,0,48,47,50.386041,40.73319,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74249,139406,1/25/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/21/2021,1/22/2021,HarrisX,B+,941,rv,1.041367,0,63,37,58.662909,38.025437,,,https://thehill.com/hilltv/what-americas-thinking/535742-poll-president-bidens-first-approval-of-his-term-at-63-percent,74256,139422,1/25/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/20/2021,1/26/2021,Echelon Insights,B/C,1006,rv,1.1879702,0,55,33,54.060041,32.568244,,,https://echeloninsights.com/in-the-news/january-omnibus-biden-administration/,74329,139616,2/3/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/22/2021,1/24/2021,Morning Consult,B,15000,a,0.19996795,0,53,29,51.531477,32.191212,,T,https://morningconsult.com/form/global-leader-approval/,74257,139494,1/28/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/21/2021,1/25/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,0.50167279,0,48,47,50.386041,40.73319,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74259,139428,1/26/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/21/2021,1/24/2021,Monmouth University,A,809,a,1.5307823,0,54,30,54.624884,30.144949,,,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_us_012721.pdf/,74263,139456,1/27/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/22/2021,1/25/2021,Data for Progress,B,1164,lv,1.4552095,0,57,36,55.801287,35.467797,,,https://www.dataforprogress.org/blog/2021/1/28/fifty-seven-percent-of-voters-approve-of-biden-in-his-first-week-as-president,74271,139490,1/28/2021,10/20/2021 16:59
